,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
451,Deep River,46.1001,-77.4995,281.15,25,1,1.6
452,Talnakh,69.4865,88.3972,263.51,78,57,4.49
453,Labytnangi,66.6572,66.4183,273.87,98,100,3.38
454,Kwinana,-32.25,115.7667,291.67,72,100,3.09
455,Verāval,20.9,70.3667,299.71,76,46,4.35
456,Aden,12.7794,45.0367,300.04,78,100,7.37
457,Constitución,-35.3333,-72.4167,287.41,66,0,3.43
458,Yar-Sale,66.8333,70.8333,273.7,97,100,5.62
459,Ibotirama,-12.1853,-43.2206,298.41,61,99,1.77
460,Inhambane,-23.865,35.3833,294.93,88,0,2.17
461,Teknāf,20.8624,92.3058,300.34,80,46,0.66
462,Kalabo,-14.97,22.6814,291.52,79,82,0.94
463,Changping,40.2186,116.2197,290.15,39,15,3.0
464,Kiryat Gat,31.61,34.7642,289.19,100,97,3.24
465,Itoman,26.1247,127.6694,295.07,53,40,6.69
466,Svelgen,61.7685,5.2955,275.94,75,90,2.57
467,Cumana,10.4635,-64.1775,293.15,100,98,8.23
468,Ribeira Brava,32.65,-17.0667,286.19,85,57,2.24
469,Sittwe,20.15,92.9,301.28,73,30,2.07
470,Nantucket,41.2835,-70.0995,281.05,57,1,2.57
471,Viking,53.1001,-111.7684,286.87,12,83,7.2
472,Singaraja,-8.112,115.0882,301.48,68,47,0.54
473,Pochutla,15.7432,-96.4661,303.34,62,40,5.14
474,San Miguel de Cozumel,20.5083,-86.9458,301.04,69,20,4.63
475,Aquiraz,-3.9014,-38.3911,301.15,83,40,3.09
476,Moyale,3.5167,39.0584,292.58,67,30,2.45
477,Voloiac,44.6167,23.1,284.26,74,100,0.71
478,Kota Kinabalu,5.9749,116.0724,302.63,66,20,1.03
479,Namangan,40.9983,71.6726,289.15,44,0,2.06
480,Srinagar,34.0833,74.8167,283.68,47,63,0.92
481,Kasempa,-13.4584,25.8338,290.35,85,98,1.78
482,Laje,-10.1833,-40.9667,297.23,66,75,2.03
483,Kachīry,53.0675,76.1036,282.15,88,100,2.21
484,Saint Anthony,45.0205,-93.218,281.06,76,90,3.6
485,Shache,38.4167,77.2406,288.44,22,0,0.86
486,Poplar Bluff,36.757,-90.3929,295.79,46,1,5.66
487,Southend-on-Sea,51.5378,0.7143,276.78,93,20,1.03
488,Tezu,27.9167,96.1667,303.04,19,5,0.35
489,Sherlovaya Gora,50.5667,116.25,273.23,63,94,11.86
490,Rolândia,-23.3097,-51.3692,295.15,56,0,3.09
491,Coyhaique,-45.5752,-72.0662,284.15,87,75,3.6
492,Paraúna,-16.9478,-50.4486,296.39,49,100,1.47
493,La Ronge,55.1001,-105.2842,274.15,86,90,5.14
494,Mocuba,-16.8392,36.9856,294.15,97,90,0.75
495,Honiara,-9.4333,159.95,303.63,66,97,1.72
496,Barcelos,41.5388,-8.6151,287.2,94,90,2.06
497,Betioky,-23.7167,44.3833,292.93,83,22,1.33
498,Kinablangan,7.6947,126.5503,300.04,81,100,2.3
499,Vazante,-17.9869,-46.9078,294.68,65,55,0.32
500,Camacha,33.0833,-16.3333,290.15,82,40,4.63
501,Khorixas,-20.3667,14.9667,291.29,59,0,1.23
502,Ipixuna,-1.7625,-48.8043,299.15,83,20,2.06
503,Richards Bay,-28.783,32.0377,291.63,93,99,2.8
504,Henties Bay,-22.116,14.2845,289.26,89,2,0.45
505,Açu,-5.5767,-36.9086,298.63,76,81,4.63
506,Acapulco de Juárez,16.8634,-99.8901,302.15,70,90,4.63
507,Lokosovo,61.1333,74.8167,275.63,79,6,3.81
508,Gawler,-34.6,138.7333,292.08,53,12,2.24
509,Antalaha,-14.9003,50.2788,295.77,91,71,2.35
510,Pattani,6.75,100.4167,298.15,94,40,1.6
511,Havre-St-Pierre,50.2334,-63.5986,278.15,100,90,7.72
512,Bonnyville,54.2668,-110.735,281.15,39,75,5.66
513,Thoen,17.6129,99.2161,299.26,99,91,1.16
514,Reconquista,-29.15,-59.65,286.96,79,0,2.21
515,Nizwá,22.9333,57.5333,297.53,31,82,0.68
516,Dourbali,11.8091,15.8632,304.6,24,9,3.69
517,Lahaina,20.8783,-156.6825,299.98,44,75,1.54
518,Amarante do Maranhão,-5.5667,-46.7422,295.59,95,97,0.6
519,Vostochnyy,55.8167,37.8667,275.64,86,0,2.0
520,Goya,-29.14,-59.2626,286.98,76,0,1.72
521,Prainha,-1.8,-53.48,296.33,97,100,1.1
522,Winchester,51.0651,-1.3187,275.65,70,53,0.51
523,Najrān,17.4924,44.1277,293.15,83,40,3.09
524,Nortelândia,-14.4547,-56.8028,294.25,89,69,0.58
525,Abilene,32.4487,-99.7331,301.21,45,1,9.77
526,Tessalit,20.1986,1.0114,303.96,9,50,3.45
527,Gorkovskiy,45.6542,41.199,277.9,96,14,3.67
528,Port Hawkesbury,45.6169,-61.3485,279.39,100,90,3.6
529,Guerrero Negro,27.9769,-114.0611,289.67,64,100,7.47
530,Kolyvan',55.3053,82.7391,281.1,81,75,4.0
531,Springfield,37.2153,-93.2982,300.15,34,1,7.72
532,Naze,28.3667,129.4833,295.15,64,20,3.6
533,Morondava,-20.2833,44.2833,298.22,72,72,2.19
534,Lebyazh'ye,55.2689,66.4947,278.4,58,6,3.2
535,Sawākin,19.1059,37.3321,300.98,73,0,1.53
536,Klaksvík,62.2266,-6.589,277.15,81,75,10.8
537,Saint-Joseph,-21.3667,55.6167,295.38,73,90,8.75
538,Bereda,43.2686,-7.5406,283.73,100,66,2.24
539,Kano,12.0001,8.5167,301.17,17,2,2.72
540,Dzhebariki-Khaya,62.2167,135.8,274.3,100,100,1.98
541,Bodden Town,19.2833,-81.25,300.83,74,20,2.57
542,Atar,20.5169,-13.0499,299.22,18,13,1.49
543,Baykit,61.67,96.37,273.92,71,18,1.42
544,Tacuarembó,-31.7333,-55.9833,284.67,82,0,1.67
545,Aparecida do Taboado,-20.0867,-51.0936,295.63,64,82,2.7
